timestamps,TP9,FP1,FP2,TP10,n/a,n/a
1509076511.384,930.168,840.516,857.240,901.998,0.000,0.000
1509076511.399,934.692,841.956,861.010,907.344,0.000,0.000
1509076511.399,895.760,836.952,854.362,878.625,0.000,0.000
1509076511.399,842.230,832.292,842.367,820.571,0.000,0.000
1509076511.399,787.466,824.889,829.070,774.512,0.000,0.000
1509076511.399,763.271,820.708,829.070,765.807,0.000,0.000
1509076511.399,779.721,820.708,828.864,788.288,0.000,0.000
1509076511.399,810.838,818.241,830.989,813.374,0.000,0.000
1509076511.419,843.395,819.132,839.420,849.495,0.000,0.000
1509076511.419,882.875,818.857,847.782,884.657,0.000,0.000
1509076511.419,928.523,821.188,853.813,918.721,0.000,0.000
1509076511.419,927.837,826.191,858.543,909.331,0.000,0.000
1509076511.419,884.657,827.699,854.088,870.537,0.000,0.000
1509076511.419,826.397,829.002,844.492,810.358,0.000,0.000
1509076511.419,782.462,826.466,829.824,779.721,0.000,0.000
1509076511.419,760.187,820.365,823.861,777.596,0.000,0.000
1509076511.419,774.237,818.857,826.328,789.453,0.000,0.000
1509076511.419,806.657,822.901,829.824,809.673,0.000,0.000
1509076511.433,842.230,826.877,837.912,846.068,0.000,0.000
1509076511.433,890.620,832.360,846.137,880.339,0.000,0.000
1509076511.433,936.542,833.594,850.798,914.266,0.000,0.000
1509076511.433,926.809,833.525,856.007,901.312,0.000,0.000
1509076511.433,881.572,830.441,852.580,859.365,0.000,0.000
1509076511.433,828.179,827.219,841.613,806.794,0.000,0.000
1509076511.433,785.135,827.699,832.977,771.564,0.000,0.000
1509076511.450,771.839,827.357,829.207,769.919,0.000,0.000
1509076511.450,785.204,826.877,829.139,785.752,0.000,0.000
1509076511.450,817.898,820.297,830.441,814.265,0.000,0.000
1509076511.450,847.508,816.253,841.407,849.838,0.000,0.000
1509076511.450,883.149,814.814,853.128,876.912,0.000,0.000
1509076511.450,922.354,822.216,863.135,900.216,0.000,0.000
1509076511.450,933.732,826.603,861.079,905.082,0.000,0.000
1509076511.450,892.265,829.550,854.979,874.924,0.000,0.000
